,message,created_time
2505,Do you know what I miss the old day's when mps used to look like they had integrity and morals but over the last few years since Boris the corruption has just got so bad its rubbed in our face's and the tories just carry on with a smirk so sad what the tories have done to this country 😢 it's on its knees,2022-11-21T15:41:59+0000
2509,Better pass the Dignity in Dying law so I can plan my future health & social care then!😳😳,2022-11-20T12:00:39+0000
2515,Tackling inflation by spending shed loads of money and handing out more benefits. Mr Sunak it was you shelling out all the Covid money that has got us into this mess. And now you are our PM 🤔🤔,2022-11-20T18:08:29+0000
2529,"With such a ridiculous generous benefits scheme for those who chose not to work paid for by those  who do work you can make available 10,000 new jobs but if you can stay at home and live off these benefits why would you choose to get a job 🤔",2022-11-20T19:08:47+0000
2542,👏👏👏👏👏👏👏,2022-11-20T21:00:19+0000
2543,😂😂😂😂😂🤔,2022-11-20T11:08:47+0000
2548,Well done PM Ukraine needs our support whatever it takes 👍👍,2022-11-19T16:42:06+0000
2562,WELL DONE MR SUNAK YOU VISIT THE UKRAINE MEANS LOTS TO UKRAINEAN PEOPLE AND TO AROUND THE WORLD OUR LEADERS CONFIDENCE ACTION RIGHT TO STARD WITH POWER POSITIVE ATTITUDE TO UKRAINEAN PEOPLE SIDE 💙🤝🏻💛,2022-11-20T11:36:19+0000
2572,Most visited ‘war zone’ ever 🤣🤔🤯,2022-11-19T14:56:54+0000
2575,"Bout time we looked after our own people first,Britain just seems to be a massive  charity 🤬🤬🤬,we've got people reallying on food banks,but no let's help others",2022-11-19T18:08:25+0000
2577,Seems to spend more time in a plane ✈️ than in No 10 then again has to use all the air miles collected by the bodger Johnson,2022-11-19T15:01:34+0000
2583,Well done Rishi 👏🏻👏🏻,2022-11-19T17:51:52+0000
2585,Could you not of done a face time ? & even better for them to have peace talks & stop us being dragged into this 🤔 we have a living crises here don’t you know 🤔,2022-11-19T17:41:05+0000
2586,Socialist Cons. Membership ditched after 33yrs. Now with Reform Party 🔥😎,2022-11-20T09:42:33+0000
2588,"Well done Rishi, kier would of probably said (There's not enough evidence,)?,. Iv seen first hand, How the Ukraine people have suffered, When visiting Poland,!! Shame on those, who don't Support, your Sympathy, & Sincere Soladarity for the horrendous actions of Putin 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇱🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇱🇺🇦🙏🏼",2022-11-21T23:15:35+0000
2602,How about tackling the invasion this country has to put up with tax payers footing the bill which you are shoving under the carpet pull your finger out and get it sorted enough is enough😡😡,2022-11-18T17:53:11+0000
2611,Come and knock on my door..You'd get the welcome you so rightly deserve😂 #enoughisenough,2022-11-19T15:11:59+0000
2634,Is the money going to go to where it’s needed though or just to the managers bonuses 🙄   Hopefully will go where it’s needed my “urgent scan” took 11 months to come through and my now “urgent” referral to a specialist has taken 12 weeks so far,2022-11-18T18:17:17+0000
2638,Thanks for the triple lock payment I look forward to giving most of it back in taxes 🤷‍♂️,2022-11-18T19:13:05+0000
2640,It's just not though is it 😅 it's going to private companies that drain the NHS,2022-11-20T20:18:22+0000
2641,My life has changed I use to buy heinz but today I switched to Branston  🙃,2022-11-18T17:43:54+0000
2650,"Like most people, I’m just relieved that your party continues to ensure that multi-millionaires and billionaires accrue colossal wealth mountains upon which to sit, while everyone else battles for the scraps from their tables. Good job 👏 👏 👏",2022-11-18T13:00:43+0000
2664,He hasn’t  got a clue what about working class people 🙄 when theyvput council tac up as they say they need more government funding . Tell me why xReigate and Banstead put some of their money in overseas / offshore accounts ????!!!,2022-11-18T18:37:05+0000
2687,We are all doomed unless your in the corrupt government if anything they should take a pay cut good luck people we are going to need it 😡,2022-11-17T18:12:17+0000
2691,That’s it for me.  Stuffed landlords “Again”. Can’t pay my mortgages off early because this lot are taking my money in taxes! So much for Entrepreneurship 🤔 No vote from me until they learn cutting taxes is what stimulates the economy. Maggie will be turning in her grave at this lot! 😡 Better prepare for opposition! 😳,2022-11-17T21:25:23+0000
