,message,created_time
99,We're taking the difficult decisions to tackle inflation.   Our Plan helps every household with energy bills and increases funding for the NHS and schools.  💬 Jeremy Hunt,2022-11-18T12:41:44+0000
156,How can you grow the economy with you bunch of tossers and ofgem ripping us off.. nobody with half a brain cell would set up shop in UK 😡,2023-01-30T16:21:44+0000
180,Staff leaving the sector in droves! Nobody wants to work for the peanuts being offered & the long term debt training in the NHS inflicts on staff. They are really living in a parallel world this lot. 😡,2023-01-30T10:47:22+0000
202,Great 5000 beds between more than 1250 hospitals. Those 4 beds per hospital will make all the difference 🙄 Please take what remaining nurses we have left in our hospitals for your grand plan. Not like we have a staffing shortage right now.,2023-01-30T17:47:30+0000
206,"✅ Our economy is growing and there's 888,000 more people on company payrolls than pre-pandemic",2023-01-27T13:13:46+0000
213,"That’s the narrative that has been sold for 13 years now , it doesn’t hold water 💦 anymore",2023-01-27T14:25:59+0000
221,"Can you PLEASE PLEASE do something about all of our gas heating bills. I’ve never known it to be so high. So expensive.We are getting help for  Our electric, and not our gas. I’ve received a one off payment some time ago. Nothing since. The gas board seem very proud of their MASSIVE PROFITS. I feel we are being ripped off. Myself and my husband are pensioners, with a lot of health conditions. Please help us. Hoping the above somehow touches your heartstrings, not just for us but everyone. Hoping to hear back from you ASAP WITH GOOD NEWS.👌X",2023-01-29T08:27:57+0000
228,And I hope that you are going to sort out all this corruption too!! 😡,2023-01-27T15:56:22+0000
233,Never forget - we never seem to learn from history - but should at least remember 🫶,2023-01-27T11:27:21+0000
235,We must never forget what those poor souls went through so that it never happens again 💔 RIP,2023-01-27T13:11:40+0000
239,Should always be remembered RIP 💓💓,2023-01-27T12:47:02+0000
246,Lest we forget 😪❤️,2023-01-27T11:05:47+0000
248,Never forget bless their souls R.I.P ❤️👼🙏🏻,2023-01-27T23:34:13+0000
250,I watched Schindler's list last night and lit a candle at 4pm today .....✡️🕯️,2023-01-27T19:01:04+0000
254,Should never be forgotten.💔,2023-01-27T14:05:44+0000
